# Constructed from biom file																														
#OTU ID	C021-S239-L001	C022-S245-L001	C002-S256-L001	C003-S262-L001	C001-S250-L001	C041-S228-L001	C011-S268-L001	C023-S251-L001	C043-S240-L001	C052-S252-L001	C051-S246-L001	C053-S258-L001	C042-S234-L001	C031-S257-L001	C012-S227-L001	C013-S233-L001	T011-S235-L001	C033-S269-L001	W011-S259-L001	T021-S241-L001	W012-S265-L001	T041-S253-L001	T031-S247-L001	W021-S271-L001	C061-S264-L001	C063-S229-L001	W031-S236-L001	W022-S230-L001	C062-S270-L001	W032-S242-L001
d604d25ad9472fa3f70e4475693a4262	29	4	0	0	0	4	10	16	0	1	0	5	0	41	13	9	0	5	1	0	0	0	0	1	0	0	3	12	0	6
c85458ebf2cf54e00e2fac4b7bfc7c4f	29	0	0	0	0	135	0	0	136	0	0	2	0	0	0	0	0	5	1	0	6	0	0	5	0	0	0	1	0	0
08c3514fe1b24c09ba65ef882772d8d6	28	2	0	0	0	0	3	7	0	4	0	8	3	5	9	5	0	0	242	0	119	0	0	12	2	1	2	12	0	1
992c068cd1b0e4736ce48c406ce3a727	27	5	0	0	0	33	0	36	102	5	20	5	0	6	19	6	0	58	0	0	0	0	0	0	85	174	2	4	0	0
92e1fb7c2230cd6b6aec4c9689ff6c2e	27	7	0	0	0	16	5	41	10	3	13	14	19	9	57	67	0	11	0	0	0	0	0	2	18	6	3	27	3	3
d5f43984743051f7230610f2a5a7ba34	26	0	1	0	0	131	0	79	228	4	45	0	7	25	6	18	1	77	1	0	0	0	0	1	89	287	0	18	0	1
ba776572a5ee98aefe53ea0d4d781938	26	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
12b5f253fae2b94dcd9ec365166352fd	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7122ab2411d3bb545120031747c99b43	26	0	0	0	0	9	0	4	28	24	9	12	5	0	1	9	0	34	0	0	1	0	0	11	39	3	3	8	9	7
cb19113c541ff1b3796d64ffbf6d89a6	26	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	20	0	0	16	0	0	6
da7c7b4d86ef9da42cce5ef21ada01db	26	0	0	0	0	0	2	1	0	0	0	2	0	0	8	9	0	0	0	0	0	0	0	0	0	0	3	0	0	1
59fed19c57cf8f88a5c9a752b1963d4f	26	0	0	0	0	50	0	2	96	0	0	10	0	0	15	0	0	2	0	0	0	0	0	0	11	0	0	0	13	0
ed7201576244bbebf7d5452274ada4b7	25	1	0	0	0	0	25	27	0	18	0	14	17	16	57	91	0	0	0	0	2	0	0	9	0	0	11	41	19	15
34da9f94c28b5bd9569be4416006077d	25	0	0	0	0	22	3	85	36	18	39	21	224	0	11	238	0	93	2	0	4	0	0	10	83	9	4	50	0	0
b72b90a5ec2bdb8b8b0987c54e69513e	25	0	0	0	0	24	1	43	174	0	7	0	0	0	10	0	0	19	0	0	0	0	0	0	3	0	0	0	0	0
5149969ac3676dd6efe854dfaf541b23	25	6	0	0	0	4	0	0	2	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78ea2f326c353540be4fb8007e2ce6f1	25	0	0	0	0	2	0	0	0	0	3	0	0	5	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
200bb948ebbcb015f6f861045e821572	24	0	0	0	0	9	0	0	48	0	0	0	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
99098625b3221be544234e154134655a	24	0	0	0	0	10	0	10	27	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
526356d3bd7c226cb766dc04e22e4d67	24	6	0	0	0	0	39	33	0	2	0	1	0	17	48	113	0	3	2	0	3	0	0	0	0	11	10	1	28	30
14a836e8415d8a8bb105c24ce224792a	24	3	0	0	0	0	1	1	5	0	0	0	0	0	2	58	2	14	1	0	0	0	0	0	0	0	0	1	0	0
bb4d7b4e3c42214f23d419e513bee4ca	24	0	0	0	0	3	0	0	3	0	0	0	1	10	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0
22517135acc888b06f81c1653b0efb3e	23	0	0	0	0	42	0	42	132	0	0	7	0	0	0	0	0	36	0	0	0	0	0	5	6	0	0	4	1	0
a78ba4684e767980a33a7177463a5de9	23	0	0	0	0	48	0	64	145	0	92	9	0	0	0	0	0	129	0	0	0	0	0	0	57	91	0	9	0	0
0928e99c5abfb9987325982de78d620d	23	6	2	2	0	49	1	81	45	84	62	240	127	24	27	129	0	135	6	0	16	0	0	21	135	74	25	153	182	35
3fdf0691a3b0af7b0f006a3002c7ce14	23	0	0	0	0	25	0	29	43	3	10	11	0	0	11	43	0	89	2	0	1	0	0	6	49	0	1	11	2	1
a885b125abd77983e90609081c77210e	23	0	0	0	0	66	1	142	118	7	18	17	6	0	147	109	0	122	0	0	2	0	0	1	0	3	5	19	68	16
630e82060a1879a569c1e37db27bb1b5	23	0	32	46	13	68	98	109	123	70	100	119	170	0	251	251	32	143	3	1	9	0	0	18	284	0	18	79	130	53
df21a99ab868c6e1e07c922805f95890	23	1	0	0	0	23	12	36	156	0	7	4	2	3	97	18	0	48	0	0	1	0	0	0	34	0	3	2	4	3
4be4a2cd8708441ec668e7ef02c9d2f2	22	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0
2ae3cb17f6153483d92795fe61514713	22	0	0	0	0	24	22	0	5	11	0	3	11	0	12	36	0	5	0	0	0	0	0	0	0	0	0	5	0	0
afffd5f30e9730a7701a0600e6134bd2	22	0	0	0	0	22	0	29	181	2	8	6	0	2	16	7	0	11	0	0	0	0	0	2	41	0	0	0	0	0
8f7f4457e35282348bdf51c6f94ab08d	22	1291	0	0	0	83	13	604	53	211	628	89	77	5437	18	0	1	29	11	0	17	0	0	3	411	2292	8	19	50	30
dc4c326f4bfecf28b430cb46b63ace30	22	0	0	0	0	5	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e5543946b37ed8d1eaa0f712bcad117e	22	0	0	0	0	27	2	93	146	4	0	13	0	0	233	9	0	36	0	0	2	0	0	4	44	0	1	10	0	2
5e47f905591c278827ab7addd25c9a6b	22	8	2	0	0	8	0	25	0	4	2	2	0	14	3	2	0	45	0	0	0	0	0	0	0	0	1	3	5	1
614730f54c88c94548c255ff64284a89	22	0	0	0	0	13	0	0	33	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	14	0	0	1	0	0
1d4a75d6152c7c39ec5996459db56bc3	21	158	0	0	0	28	65	110	77	18	34	16	8	30	88	28	0	83	2	0	2	0	0	2	20	48	5	17	9	11
de2b78219f9c5c1b422b7912cc82f97b	21	92	0	0	0	34	0	17	64	8	67	6	0	3	6	12	0	24	0	0	1	0	0	4	68	127	4	8	6	2
616d4805214cb9d801851467cf2e127e	21	0	0	0	0	12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e758d5cd08b73eb8ca74b8fbd21d4d83	20	6	1	0	0	31	16	17	137	5	22	7	0	7	91	3	0	11	0	0	0	0	0	0	3	0	2	5	0	1
12e5261622804c16940253531732a298	20	0	0	0	3	14	2	15	0	10	0	3	0	33	7	0	1	0	0	0	1	0	0	0	0	0	23	5	0	8
25f3d62608df6b2e551c1df1108bd036	20	0	0	0	0	22	0	50	99	3	14	0	0	0	57	25	0	25	0	0	0	0	0	1	32	0	3	0	0	2
534f04a155cf320fe15f9349bc2b7b63	20	1	0	0	0	6	0	38	2	0	0	1	1	2	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0
45c5cec7ce1dfa0f4839adde8a353724	20	0	0	0	0	0	0	0	11	1	0	3	0	0	0	0	0	3	0	0	0	0	0	1	7	0	1	2	0	0
46e8d08c01f696313d3892186ccdf944	20	0	0	0	0	0	1	6	0	0	0	0	0	2	2	3	0	0	30	0	82	0	0	0	0	0	0	0	0	0
713ee8bf5668b524f0ce33e0928d2c49	20	0	0	0	0	16	0	39	192	0	0	0	0	0	31	3	0	14	0	0	0	0	0	2	2	0	1	1	1	5
c57e36a2b3173d4a7a1761fb0337868c	20	0	0	0	0	0	0	50	1	0	5	4	0	0	1	33	0	4	0	0	0	0	0	0	14	0	1	0	0	3
