Feature ID	Taxon	Confidence						
ba776572a5ee98aefe53ea0d4d781938	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales_Incertae_Sedis	g__uncultured	s__	0.978491967
12b5f253fae2b94dcd9ec365166352fd	d__Bacteria	p__GAL15	c__GAL15	o__GAL15	f__GAL15	g__GAL15	s__	0.9999783873651761
7122ab2411d3bb545120031747c99b43	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.9999579270099856
cb19113c541ff1b3796d64ffbf6d89a6	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.9999997010154565
da7c7b4d86ef9da42cce5ef21ada01db	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	0.8905688759288958		
59fed19c57cf8f88a5c9a752b1963d4f	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999810077565222
ed7201576244bbebf7d5452274ada4b7	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9999720067446245
34da9f94c28b5bd9569be4416006077d	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PLTA13	f__PLTA13	g__PLTA13	s__	0.9999855424249001
b72b90a5ec2bdb8b8b0987c54e69513e	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__uncultured	g__uncultured	s__	0.918909585
5149969ac3676dd6efe854dfaf541b23	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999986511615762
78ea2f326c353540be4fb8007e2ce6f1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_12	f__Subgroup_12	g__Subgroup_12	s__	0.9999592254249015
200bb948ebbcb015f6f861045e821572	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__Thermoanaerobaculaceae	g__Subgroup_10	s__	0.9991802183139511
99098625b3221be544234e154134655a	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__Subgroup_7	g__Subgroup_7	s__	0.9958668984860877
526356d3bd7c226cb766dc04e22e4d67	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	0.8827733392912733		
14a836e8415d8a8bb105c24ce224792a	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__uncultured	s__	0.8643386498122463
bb4d7b4e3c42214f23d419e513bee4ca	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.999998828
22517135acc888b06f81c1653b0efb3e	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9534498990966207
a78ba4684e767980a33a7177463a5de9	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__WX65	g__WX65	s__	0.9999959280905752
0928e99c5abfb9987325982de78d620d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales_Incertae_Sedis	g__uncultured	s__	0.9335146999944935
3fdf0691a3b0af7b0f006a3002c7ce14	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup_12	f__Subgroup_12	g__Subgroup_12	s__	0.9999789307108684
a885b125abd77983e90609081c77210e	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9926225671994868
630e82060a1879a569c1e37db27bb1b5	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__WX65	g__WX65	s__	0.9999999405034448
df21a99ab868c6e1e07c922805f95890	d__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__MB-A2-108	f__MB-A2-108	g__MB-A2-108	s__	0.9998335044934321
4be4a2cd8708441ec668e7ef02c9d2f2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	0.9942510832586879		
2ae3cb17f6153483d92795fe61514713	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__uncultured	g__uncultured	s__	0.9982550714182354
afffd5f30e9730a7701a0600e6134bd2	d__Bacteria	p__Chloroflexi	c__Gitt-GS-136	o__Gitt-GS-136	f__Gitt-GS-136	g__Gitt-GS-136	s__	0.9999954283921304
8f7f4457e35282348bdf51c6f94ab08d	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Crossiella	s__	0.9993592987878517
dc4c326f4bfecf28b430cb46b63ace30	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.9808842341006535
e5543946b37ed8d1eaa0f712bcad117e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__SC-I-84	s__	0.9998505445781366
5e47f905591c278827ab7addd25c9a6b	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__	0.9999884501155468
614730f54c88c94548c255ff64284a89	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__Subgroup_7	g__Subgroup_7	s__	0.9936156825493735
1d4a75d6152c7c39ec5996459db56bc3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__uncultured	s__	0.9999444714852654
de2b78219f9c5c1b422b7912cc82f97b	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__WX65	g__WX65	s__	0.999997641
616d4805214cb9d801851467cf2e127e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__	0.9999973877154688
e758d5cd08b73eb8ca74b8fbd21d4d83	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__uncultured	g__uncultured	s__	0.8944307496826881
12e5261622804c16940253531732a298	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Vicinamibacteraceae	s__	0.9991819485556453
25f3d62608df6b2e551c1df1108bd036	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__Rokubacteriales	g__Rokubacteriales	s__	0.999950727
534f04a155cf320fe15f9349bc2b7b63	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__SC-I-84	s__	0.9999260831266735
45c5cec7ce1dfa0f4839adde8a353724	d__Bacteria	p__Myxococcota	c__bacteriap25	o__bacteriap25	f__bacteriap25	g__bacteriap25	s__	0.7898609051609021
46e8d08c01f696313d3892186ccdf944	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__uncultured	s__	0.9987697559543127
713ee8bf5668b524f0ce33e0928d2c49	d__Bacteria	0.9999999996986595						
c57e36a2b3173d4a7a1761fb0337868c	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__	0.998177297
ca016b0f74afc40eb2a93bd6dcbeba29	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__uncultured	g__uncultured	s__	0.7347717273836997
6723e71d5fcd3bfaef5910d44452c88e	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriae	f__Acidobacteriae	g__Paludibaculum	s__	0.9681116040735283
